Station_ID,longitude,latitude,station_type
dongsi_aq,116.417,39.929,Urban
tiantan_aq,116.407,39.886,Urban
guanyuan_aq,116.339,39.929,Urban
wanshouxigong_aq,116.352,39.878,Urban
aotizhongxin_aq,116.397,39.982,Urban
nongzhanguan_aq,116.461,39.937,Urban
wanliu_aq,116.287,39.987,Urban
beibuxinqu_aq,116.174,40.09,Urban
zhiwuyuan_aq,116.207,40.002,Urban
fengtaihuayuan_aq,116.279,39.863,Urban
yungang_aq,116.146,39.824,Urban
gucheng_aq,116.184,39.914,Urban
fangshan_aq,116.136,39.742,Suburban
daxing_aq,116.404,39.718,Suburban
yizhuang_aq,116.506,39.795,Suburban
tongzhou_aq,116.663,39.886,Suburban
shunyi_aq,116.655,40.127,Suburban
pingchang_aq,116.23,40.217,Suburban
mentougou_aq,116.106,39.937,Suburban
pinggu_aq,117.1,40.143,Suburban
huairou_aq,116.628,40.328,Suburban
miyun_aq,116.832,40.37,Suburban
yanqin_aq,115.972,40.453,Suburban
dingling_aq,116.22,40.292,Other
badaling_aq,115.988,40.365,Other
miyunshuiku_aq,116.911,40.499,Other
donggaocun_aq,117.12,40.1,Other
yongledian_aq,116.783,39.712,Other
yufa_aq,116.3,39.52,Other
liulihe_aq,116,39.58,Other
qianmen_aq,116.395,39.899,Near_Traffic
yongdingmennei_aq,116.394,39.876,Near_Traffic
xizhimenbei_aq,116.349,39.954,Near_Traffic
nansanhuan_aq,116.368,39.856,Near_Traffic
dongsihuan_aq,116.483,39.939,Near_Traffic